"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051225","spindle assembly","5/104","127/18842",0.0393700787401575,7.13279830405815,5.1662171131942,0.000693849935943476,0.0106128872810833,0.00885968568092585,"BIRC5/KIF11/KIF4A/TPX2/NEK2",5
"GO:0000910","cytokinesis","6/104","195/18842",0.0307692307692308,5.57455621301775,4.7837537541427,0.000744960939657298,0.0112635659615487,0.00940287514817659,"BIRC5/KIF4A/ANLN/CEP55/AURKA/KIF20A",6
"GO:0090307","mitotic spindle assembly","4/104","74/18842",0.0540540540540541,9.79313929313929,5.64622060435074,0.000749196826322457,0.0112635659615487,0.00940287514817659,"BIRC5/KIF11/KIF4A/TPX2",4
"GO:0061640","cytoskeleton-dependent cytokinesis","5/104","130/18842",0.0384615384615385,6.96819526627219,5.08699865425912,0.000771108833880889,0.0114947494813261,0.00959586818254986,"BIRC5/KIF4A/ANLN/CEP55/KIF20A",5
"GO:0002832","negative regulation of response to biotic stimulus","5/104","131/18842",0.0381679389312977,6.9150029359953,5.06114919805109,0.00079823623477399,0.011799138966113,0.00984997388332345,"OAS3/OAS1/ISG15/USP18/PARP14",5
"GO:0001818","negative regulation of cytokine production","8/104","371/18842",0.0215633423180593,3.9066970765084,4.2125837836217,0.00104399596067726,0.0153032407902608,0.0127752137293402,"SIGLEC1/OAS3/XAF1/BST2/OAS1/ADIPOQ/CIDEA/GBP1",8
"GO:0019915","lipid storage","4/104","82/18842",0.0487804878048781,8.83771106941839,5.29891295986661,0.0011011177597359,0.0157468791819142,0.0131455650392091,"CIDEC/CIDEA/LEP/RNF213",4
"GO:0062208","positive regulation of pattern recognition receptor signaling pathway","4/104","82/18842",0.0487804878048781,8.83771106941839,5.29891295986661,0.0011011177597359,0.0157468791819142,0.0131455650392091,"GBP5/RSAD2/OASL/DDX60",4
"GO:0098586","cellular response to virus","4/104","82/18842",0.0487804878048781,8.83771106941839,5.29891295986661,0.0011011177597359,0.0157468791819142,0.0131455650392091,"OAS1/CXCL10/IFI6/IFIH1",4
"GO:0002221","pattern recognition receptor signaling pathway","7/104","291/18842",0.0240549828178694,4.35811525244515,4.30096052168079,0.0011559692351805,0.0163979829409879,0.0136891093639796,"OAS3/OAS1/GBP5/RSAD2/IFIH1/OASL/DDX60",7
"GO:0034389","lipid droplet organization","3/104","39/18842",0.0769230769230769,13.9363905325444,6.0247478516411,0.00129216980763571,0.0181834135330497,0.0151795947928574,"CIDEC/CIDEA/RNF213",3
"GO:0019835","cytolysis","2/104","10/18842",0.2,36.2346153846154,8.30287193901032,0.00131919056532444,0.0182713086961079,0.0152529700673651,"GBP5/GBP1",2
"GO:0035634","response to stilbenoid","2/104","10/18842",0.2,36.2346153846154,8.30287193901032,0.00131919056532444,0.0182713086961079,0.0152529700673651,"CIDEA/USP18",2
"GO:0170062","nutrient storage","4/104","87/18842",0.0459770114942529,8.32979664014147,5.10505052657919,0.00137213637326859,0.0187803479482809,0.0156779183075622,"CIDEC/CIDEA/LEP/RNF213",4
